Mobile Phone Name,Offer Price,Mobile Phone Link
"SAMSUNG Galaxy S25 5G (Mint, 256 GB)","? 80,999",https://www.flipkart.com/samsung-galaxy-s25-5g-mint-256-gb/p/itm2196514814ed7?pid=MOBH8K8UQ5RYGUPF&lid=LSTMOBH8K8UQ5RYGUPFAUX9LE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&fm=organic&iid=en_cURbBDPiemIjdLGZIXMbYXxSIaiuRwlWYowNnFBnf7WvJLdFhNs11Uex8GUgohARMr-tI5QXDbYWVO4kXDm9Qw%3D%3D&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"Motorola G85 5G (Cobalt Blue, 128 GB)","? 17,999",https://www.flipkart.com/motorola-g85-5g-cobalt-blue-128-gb/p/itm3c5fb4da1bfe6?pid=MOBHY9PQ7FGZKVDK&lid=LSTMOBHY9PQ7FGZKVDK4B1TIW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&fm=organic&iid=f08c88ff-48bc-45f4-bd68-1ae1656bc811.MOBHY9PQ7FGZKVDK.SEARCH&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"CMF by Nothing Phone 1 (Black, 128 GB)","? 16,999",https://www.flipkart.com/cmf-nothing-phone-1-black-128-gb/p/itmeef68c7ce70bf?pid=MOBHYBQTSE9EKVBT&lid=LSTMOBHYBQTSE9EKVBT5UGTRK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=browse&fm=organic&iid=f08c88ff-48bc-45f4-bd68-1ae1656bc811.MOBHYBQTSE9EKVBT.SEARCH&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)","? 1,29,999",https://www.flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-gray-512-gb/p/itmc267de29a3b0b?pid=MOBH8K8U2FZXCP2R&lid=LSTMOBH8K8U2FZXCP2R0C4UGD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_35&otracker=browse&fm=organic&iid=en_cURbBDPiemIjdLGZIXMbYXxSIaiuRwlWYowNnFBnf7WyhCbZFt7Wy40s9KAEDMkNX23v3aPt9gBHaZc4RkOtHQ%3D%3D&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"Motorola g64 5G (Ice Lilac, 128 GB)","? 14,999",https://www.flipkart.com/motorola-g64-5g-ice-lilac-128-gb/p/itm36e3ccb6c9dee?pid=MOBGY2JUZHAXQ8ZG&lid=LSTMOBGY2JUZHAXQ8ZGKQ5SOK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_36&otracker=browse&fm=organic&iid=f08c88ff-48bc-45f4-bd68-1ae1656bc811.MOBGY2JUZHAXQ8ZG.SEARCH&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)","? 1,29,999",https://www.flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-silverblue-512-gb/p/itm7d0e1ef71672e?pid=MOBH8K8UVQCSQE3Z&lid=LSTMOBH8K8UVQCSQE3Z5XVS59&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_37&otracker=browse&fm=organic&iid=en_cURbBDPiemIjdLGZIXMbYXxSIaiuRwlWYowNnFBnf7XJtuGC7rDPinnM85csHeAqMp9pxExcnsOESPKZHfplwA%3D%3D&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"SAMSUNG Galaxy S25 Plus 5G (Navy, 512 GB)","? 99,999",https://www.flipkart.com/samsung-galaxy-s25-plus-5g-navy-512-gb/p/itm88c024d0e31d2?pid=MOBH8K8U246X3MQN&lid=LSTMOBH8K8U246X3MQNF3SC3L&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_38&otracker=browse&fm=organic&iid=en_cURbBDPiemIjdLGZIXMbYXxSIaiuRwlWYowNnFBnf7W5QcrOR5-ot1VOtIL-gmLSlpEpPXDnMz4xV-pmccsqrQ%3D%3D&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"realme C63 5G Charger in the Box (Forest Green, 128 GB)","? 12,999",https://www.flipkart.com/realme-c63-5g-charger-box-forest-green-128-gb/p/itm10b8f5cccfadd?pid=MOBH3DZQ3GCQEYUC&lid=LSTMOBH3DZQ3GCQEYUCLNXQPP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_39&otracker=browse&fm=organic&iid=f08c88ff-48bc-45f4-bd68-1ae1656bc811.MOBH3DZQ3GCQEYUC.SEARCH&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"realme C63 5G Charger in the Box (Forest Green, 128 GB)","? 11,999",https://www.flipkart.com/realme-c63-5g-charger-box-forest-green-128-gb/p/itm10b8f5cccfadd?pid=MOBH3DZQ4JE2GVAR&lid=LSTMOBH3DZQ4JE2GVARNDPH9F&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_40&otracker=browse&fm=organic&iid=f08c88ff-48bc-45f4-bd68-1ae1656bc811.MOBH3DZQ4JE2GVAR.SEARCH&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
"CMF by Nothing Phone 1 (Blue, 128 GB)","? 14,999",https://www.flipkart.com/cmf-nothing-phone-1-blue-128-gb/p/itmeef68c7ce70bf?pid=MOBHYBQTMNNEFQMC&lid=LSTMOBHYBQTMNNEFQMCGO0C1P&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_41&otracker=browse&fm=organic&iid=f08c88ff-48bc-45f4-bd68-1ae1656bc811.MOBHYBQTMNNEFQMC.SEARCH&ppt=None&ppn=None&ssid=z7rx1boka80000001738755676959
